geneID	min	max	mean	sd	overQC
Region5051	5.29608358996891	6.20311391608133	5.80155131871464	0.352955074914397	12
Region5052	6.27397539046702	7.56950678762162	7.08239985004962	0.466688026636976	12
Region5053	5.73962090987871	7.39394620754459	6.69201309450321	0.584919213182739	12
Region5054	5.93292485383299	7.14659733259904	6.67764028085086	0.47943062274062	12
Region5055	5.6696000484411	6.21926602581413	5.93380913943418	0.190605049634298	12
Region5056	6.06566412020144	7.33536061401595	6.80691161248987	0.467415500061584	12
Region5057	6.24064574020308	7.67725704786031	7.06123276453147	0.516458643134418	12
Region5058	6.70568868113143	7.41281525433391	7.12540214676919	0.235212266436494	12
Region5059	7.10291477410457	8.29871165461804	7.75080227262869	0.44620994131683	12
Region506	7.09077235044299	7.43929596576316	7.2755250154589	0.101854649584344	12
Region5060	6.84139741149609	8.13377134444534	7.47897123011505	0.488876917578949	12
Region5061	6.20733253102605	6.63575384453698	6.38931418159838	0.129697858821714	12
Region5062	7.04547157793297	7.76708594566156	7.47176462471898	0.209160892343811	12
Region5063	7.06961818103331	8.02010924291082	7.58094004981741	0.26229159079866	12
Region5064	7.19784979313765	7.76662211428173	7.49854450846438	0.190495964170024	12
Region5065	7.16552715091973	7.87742973613531	7.54211342276013	0.242418814052984	12
Region5066	7.16069156909928	7.86169154216784	7.64542145782054	0.247801899238317	12
Region5067	7.04666107779532	7.80776267187028	7.47567993932924	0.23566058206263	12
Region5068	7.71155718033435	8.23974408124572	8.01234410894692	0.195882534993663	12
Region5069	7.39222265355524	7.73448410474995	7.57811255326654	0.123745291925206	12
Region507	8.30201499099068	9.44032102222586	8.81108418451286	0.446631364197467	12
Region5070	7.35709176113788	8.21125184890724	7.85226047386409	0.247547917323198	12
Region5071	7.4140851514361	8.37300854314133	7.93367387663635	0.292802495004068	12
Region5072	7.31139508441397	8.02267136929705	7.7082274414158	0.1866916435602	12
Region5073	7.50790137799268	8.44512069369591	7.92023579359491	0.285524747565582	12
Region5074	7.68523876268113	8.23923810941797	7.94141772166804	0.166595774091444	12
Region5075	7.01789945642648	8.87823253883318	7.91237096471611	0.640411370578862	12
Region5076	5.91419235268459	7.19013311519829	6.75816434167931	0.512207653560026	12
Region5077	6.94326777580615	7.4915451359507	7.21190231314532	0.188695128548839	12
Region5078	6.2111370225348	6.91959310852981	6.61167596745687	0.245929902854971	12
Region5079	6.40970733461382	7.72242566978904	7.11647840893894	0.450081620321518	12
Region508	6.40767775119569	6.84744078402618	6.58468053988446	0.135962118456736	12
Region5080	6.22726356128882	7.33544882514613	6.83259109841517	0.295933771246115	12
Region5081	6.07860630729954	6.73341947825015	6.40188013744304	0.229189753352218	12
Region5082	6.52025236006182	7.11859912959554	6.85608096420845	0.170475620166419	12
Region5083	6.49454394670048	7.24179147025951	6.91217900114712	0.211591602412936	12
Region5084	6.53962027075125	7.1317961499132	6.78864482502342	0.192671245470523	12
Region5085	6.75631140203153	7.18681862984199	7.02615190674295	0.122799692394063	12
