geneID	ATAC_region	ATAC_factor	ATAC_direction	Time	Gd7	Toll10b	Toll9
FBgn0033652	Region5163	Toll9	Up	-0.969751031036333	-0.441977908185581	-0.993794658790074	1.88880210740919
FBgn0033652	Region5165	Toll9	Up	-1.41590263257487	-0.110138504452401	-1.84865811209443	2.65525056719103
FBgn0010238	Region5255	Toll10b	Down	-1.4743286164108	1.09081735099823	-1.62818490584627	0.906747587838219
FBgn0003326	Region5312	Toll9	Up	-0.0651094129230551	-0.677114490366077	-1.25286398037182	2.52574180807901
FBgn0003326	Region5313	Toll9	Up	0.843823574981523	0.00751191121422378	-1.60662301966145	2.18317535001315
FBgn0003326	Region5316	Toll9	Up	-0.0468503649805821	-2.24720148587794	-0.463383739589339	3.3411292531535
FBgn0003326	Region5317	Toll9	Up	0.0916917739755162	-2.43812541013514	-0.0603818287738885	3.0213802450047
FBgn0003326	Region5320	Toll9	Up	-0.194774084268705	-2.09796919576473	-0.363423270346026	3.02484453022316
FBgn0033856	Region5436	Toll9	Up	0.613216955645234	0.509820420126192	-3.8635484805236	4.657243020151
FBgn0033856	Region5465	Toll9	Up	-0.942008030738103	-1.30317936401594	-0.0109381975168088	1.58581661376713
FBgn0033856	Region5494	Toll9	Up	-0.218450001064898	-3.85508663017865	-0.919412288203655	5.90157128707455
FBgn0033856	Region5495	Toll9	Up	-0.300013991666128	-2.8294308233416	-0.692860804827715	4.35608645982196
FBgn0284250	Region5651	Gd7	Up	0.994205614761092	1.73060588228218	-1.52294613553472	-0.00807056022153751
FBgn0027596	Region5722	Toll9	Down	1.09892632792236	1.50655737503345	-0.107359443137304	-1.66955792868897
FBgn0029082	Region5757	Toll9	Down	0.461142331884401	1.67648113193743	-0.202309141102482	-1.74483065314724
FBgn0034005	Region5785	Toll9	Down	-0.642865922404982	1.33554422384832	0.536994265346017	-2.34263150467907
FBgn0265991	Region5832	Toll10b	Up	0.19459278205856	-3.66717312131372	6.19113695187139	-4.02726017827119
FBgn0265991	Region5835	Toll10b	Up	1.50160016820105	-0.980401549798675	1.61646222353888	-1.02385055476913
FBgn0034083	Region5932	Gd7	Down	1.72099288894597	-1.96604990642811	0.5798759263682	1.5786972290055
FBgn0034083	Region5934	Gd7	Down	1.9137745102934	-2.83178252570355	1.92730215566198	0.783719802389207
FBgn0264273	Region5970	Gd7	Up	-0.620355082491812	5.60444221039066	-2.3081683043178	-3.60627666353145
FBgn0264273	Region5971	Gd7	Up	-0.441131839017707	1.98148398120636	-1.58329541508921	-0.22814020355156
FBgn0040505	Region5993	Gd7	Up	-1.04564990443173	1.69626172077662	-0.404786909436739	-1.49239469478985
FBgn0040505	Region6006	Gd7	Up	1.12717176604397	1.46581931522422	-0.435254644929827	-1.17303940954162
FBgn0040505	Region6007	Gd7	Up	1.43702343542802	1.804016417451	-1.15770393261278	-0.594933288863059
FBgn0040505	Region6010	Gd7	Up	1.75347379807055	4.11106763766222	-1.51432534717937	-2.88931358187932
FBgn0040505	Region6011	Gd7	Up	0.310620345091679	3.73822911383723	-2.09118215751058	-1.65276412331692
FBgn0040505	Region6012	Gd7	Up	0.914189724094166	1.70674678824376	-1.39234964241848	-0.157508464802957
FBgn0040505	Region6013	Gd7	Up	1.44577577399648	1.62079641171277	-0.908603734430308	-0.713970584180611
FBgn0034224	Region6072	Gd7	Down	0.914748276272214	-1.74062812171789	0.611098390490887	1.26436412661425
FBgn0034224	Region6074	Gd7	Down	1.31129688250034	-2.47510305918525	0.471366733830676	2.34038550847131
