gd7_3h_rep1	gd7_3h_rep2	gd7_5h_rep1	gd7_5h_rep2	toll10b_3h_rep1	toll10b_3h_rep2	toll10b_5h_rep1	toll10b_5h_rep2	toll9_3h_rep1	toll9_3h_rep2	toll9_5h_rep1	toll9_5h_rep2
FBgn0037422	3	2	4	3	2	3	2	2	2	3	1	3
FBgn0040279	5	4	7	8	5	5	6	2	8	6	5	3
FBgn0037424	1	2	3	2	4	3	3	2	4	0	4	4
FBgn0286874	5	0	3	4	0	4	1	4	8	1	3	3
FBgn0051561	2	7	3	1	4	2	4	2	1	0	1	2
FBgn0267690	2	5	7	3	4	6	4	5	1	3	3	3
FBgn0051560	2	1	0	1	1	0	2	1	0	2	5	3
FBgn0037427	12	8	35	10	13	16	20	18	9	9	11	10
FBgn0037428	4	6	2	3	4	5	1	4	2	4	2	1
FBgn0037429	2	1	1	1	1	5	6	0	8	4	0	8
FBgn0037430	9	5	5	1	7	7	7	1	13	7	7	5
FBgn0037431	4	1	4	2	0	3	1	2	5	0	1	3
FBgn0037432	1	1	0	1	3	1	3	1	1	0	2	0
FBgn0037433	6	3	3	1	0	0	1	1	5	4	2	2
FBgn0261789	52	13	86	61	31	58	92	68	57	51	43	96
FBgn0037435	18	11	51	62	22	18	73	48	29	26	39	68
FBgn0037436	65	52	8	13	27	28	22	5	23	28	12	11
FBgn0267698	224	111	220	174	160	193	186	205	214	221	99	228
FBgn0261641	2323	1112	636	686	1197	1396	730	667	1416	1482	349	736
FBgn0037439	569	332	611	597	413	498	618	649	459	394	202	480
FBgn0037440	93	59	51	81	57	55	95	49	83	100	43	104
FBgn0260766	26	11	5	9	12	17	16	9	17	15	3	9
FBgn0027514	1278	723	609	483	754	840	386	705	853	795	260	514
FBgn0260645	2	1	1	5	2	0	2	1	0	2	2	2
FBgn0010282	424	218	233	243	266	318	313	253	305	332	114	281
FBgn0037442	461	182	203	270	247	280	272	215	353	321	125	335
FBgn0037443	655	279	236	279	304	370	319	219	420	439	123	381
FBgn0264495	613	366	654	770	528	592	850	677	605	614	419	1013
FBgn0037445	381	196	384	477	253	309	575	348	312	311	207	498
FBgn0037446	564	325	334	327	388	465	363	367	406	397	153	414
FBgn0037447	12	5	22	2	20	19	11	10	6	7	8	6
FBgn0037448	10	7	22	14	18	17	25	4	20	8	13	17
FBgn0037449	5	3	1	1	2	4	9	0	5	3	3	8
FBgn0053202	6	2	4	5	4	2	11	1	9	3	6	3
FBgn0046873	0	1	0	1	0	3	4	0	0	1	0	2
FBgn0037454	4	5	2	7	7	4	12	5	9	1	6	3
FBgn0037455	6	3	6	3	3	5	2	1	6	2	5	5
FBgn0037456	2	3	4	2	1	2	5	3	3	1	3	2
FBgn0051482	2	1	1	0	1	0	4	0	5	0	1	0
FBgn0250846	11	6	11	5	9	11	14	8	6	14	27	4
FBgn0037460	8	4	2	34	3	2	34	3	7	2	3	4
FBgn0037461	4	6	0	41	2	2	39	3	4	6	5	11
FBgn0037462	3	1	4	1	4	3	4	2	1	3	1	6
FBgn0051286	2	2	2	1	2	0	1	0	1	0	2	0
FBgn0026565	4	2	6	7	4	5	5	4	3	4	5	2
FBgn0010355	1904	988	810	1007	942	1090	1022	867	1162	1166	457	1215
FBgn0026566	893	617	347	325	531	640	286	450	425	433	169	343
FBgn0262801	460	263	204	215	296	350	281	194	269	252	115	200
FBgn0024912	29	27	12	11	8	10	6	8	12	16	8	21
FBgn0002522	33	14	78	44	35	51	67	59	48	43	43	77
FBgn0000552	4	3	1	2	1	0	0	2	2	1	2	5
FBgn0004777	3	4	5	4	3	2	3	2	7	1	2	4
FBgn0004778	2	1	6	5	2	1	1	3	1	1	2	2
FBgn0004779	2	2	1	4	2	1	2	3	6	2	6	4
FBgn0004780	4	2	2	1	1	1	3	0	8	5	6	14
FBgn0004781	5	3	1	4	0	1	1	0	3	2	2	2
FBgn0004782	5	1	1	7	1	3	5	0	3	3	2	4
FBgn0004783	4	3	2	1	1	0	2	2	1	3	1	2
FBgn0051481	35	20	26	37	11	8	40	23	18	19	18	19
FBgn0004054	529	243	1	4	11	7	6	3	33	26	7	5
FBgn0085326	11	3	5	3	0	0	5	2	1	2	5	1
FBgn0004053	9113	3852	8	17	318	431	33	4	618	481	13	9
FBgn0000166	95	69	8	9	4	9	11	6	12	9	7	7
FBgn0000071	2067	841	568	136	833	1119	164	649	402	375	503	1344
FBgn0000439	193	68	76	98	81	110	116	94	106	100	39	95
FBgn0003339	29	18	51	56	30	19	70	40	37	47	24	80
FBgn0001077	4766	2460	199	257	2007	2419	307	208	3525	3136	74	184
FBgn0260642	100	53	91	167	95	104	148	116	189	170	60	183
FBgn0024289	29	11	88	78	33	51	61	101	45	48	53	85
FBgn0026563	23	17	139	84	35	52	87	139	67	63	73	146
FBgn0019828	6	3	2	2	0	2	3	3	4	3	5	1
FBgn0037463	7	8	4	8	3	1	4	1	1	3	4	4
FBgn0037464	9	4	9	7	5	4	10	4	8	9	5	8
FBgn0037465	23	16	45	34	24	30	53	41	17	29	23	39
FBgn0037466	560	305	335	391	368	461	364	360	510	516	152	473
FBgn0037467	1468	884	555	520	888	995	569	638	1056	1046	438	738
FBgn0037468	78	37	49	56	24	41	110	46	44	48	38	68
FBgn0010774	1033	514	435	520	531	591	550	447	847	736	231	517
FBgn0037469	216	139	106	99	157	145	152	126	139	155	75	143
FBgn0037470	113	82	37	123	47	52	125	65	91	94	57	100
FBgn0003884	3036	1433	1540	1365	1916	2340	1619	1736	2873	2743	923	2061
FBgn0040670	15	8	6	3	4	5	8	7	8	15	1	4
FBgn0261238	4780	2087	1008	814	1957	2276	1024	921	2931	2777	690	1804
FBgn0014863	182	87	69	96	80	93	102	83	116	118	61	102
FBgn0037472	307	173	144	169	152	211	159	156	249	270	98	195
FBgn0037473	95	47	42	51	53	62	55	47	92	58	27	50
FBgn0051248	14	10	2	16	2	7	12	4	12	19	7	3
FBgn0051493	2	1	2	0	1	2	1	0	0	6	4	0
FBgn0037475	7	3	16	4	4	4	7	12	6	7	4	3
FBgn0037477	4	3	3	1	1	1	5	0	3	6	2	2
FBgn0037478	342	199	239	258	196	206	267	230	266	270	126	263
FBgn0250732	723	396	542	587	431	516	651	616	534	452	304	676
FBgn0011020	777	470	576	702	512	598	705	709	638	607	368	864
FBgn0037481	212	131	90	67	159	193	85	97	181	187	67	91
FBgn0002306	288	134	95	213	50	69	299	90	120	147	102	298
FBgn0037482	518	280	387	379	296	380	335	362	365	436	168	428
FBgn0086372	268	124	176	227	113	126	267	204	166	171	141	314
FBgn0037483	26	10	52	52	37	31	50	47	36	29	23	67
FBgn0250845	6	1	2	1	1	7	1	2	3	1	8	3
FBgn0037485	4	5	9	7	2	2	12	1	7	3	9	8
FBgn0037486	3	1	3	4	2	3	4	1	1	2	2	3
FBgn0037487	25	15	12	10	14	21	25	13	56	54	86	206
FBgn0037488	7	1	2	4	3	6	5	4	11	3	4	7
FBgn0037489	513	265	410	363	354	404	422	401	374	368	178	339
FBgn0037490	681	421	461	351	421	435	210	540	502	430	148	349
FBgn0037491	190	106	50	63	119	103	60	54	109	112	16	59
FBgn0037492	120	76	85	70	93	88	113	99	88	98	49	69
FBgn0011282	6	2	1	4	5	2	2	0	0	3	5	2
FBgn0001112	14	3	11	4	8	7	5	7	8	3	3	6
FBgn0028400	17	5	17	8	15	34	19	9	42	29	33	59
FBgn0267337	73	58	34	20	30	44	51	14	69	28	37	40
FBgn0045843	6	7	5	1	4	8	6	5	8	3	6	11
FBgn0260713	1	2	5	0	5	2	5	2	7	2	3	1
FBgn0037498	5	0	3	1	4	5	3	1	4	2	5	2
FBgn0265423	0	0	0	2	0	0	1	1	1	1	2	1
FBgn0051496	2	1	0	0	3	3	1	0	1	1	1	2
FBgn0051501	17	14	3	12	18	24	24	9	20	16	27	11
FBgn0262982	10	3	0	27	2	0	30	1	9	7	4	9
FBgn0037500	3	1	4	0	1	3	3	4	1	1	1	4
FBgn0004175	1	1	0	0	1	0	0	0	0	0	1	1
FBgn0004174	5	3	0	2	2	1	7	1	1	0	3	1
FBgn0004173	1	2	2	2	0	1	5	0	0	1	2	0
FBgn0004172	0	0	0	0	1	0	0	0	0	1	1	0
FBgn0015770	34	11	9	14	10	22	30	6	15	20	15	10
FBgn0261502	1	1	2	2	2	3	3	0	0	1	1	2
FBgn0037501	10	7	13	3	2	5	11	3	5	4	6	5
FBgn0037502	5	2	6	5	2	7	7	3	2	5	4	4
FBgn0037503	9	7	2	7	8	6	5	5	8	3	13	5
FBgn0037504	2117	1170	1097	1189	869	1090	1089	1271	1326	1147	600	1135
FBgn0015569	14	1	6	4	7	7	12	7	10	4	7	8
FBgn0261508	2	1	0	0	0	3	1	0	2	3	0	0
FBgn0015577	16	9	16	9	5	10	17	6	14	8	4	11
FBgn0037506	3	1	3	2	1	4	2	2	3	3	8	4
FBgn0015576	8	8	4	4	8	9	14	2	5	10	4	4
FBgn0017456	16	10	7	5	7	4	4	6	5	4	1	7
FBgn0015575	111	43	11	6	10	12	10	10	18	15	7	15
FBgn0015574	245	103	3	13	12	12	28	7	26	25	3	12
FBgn0015831	90	52	4	4	3	5	15	2	8	10	4	3
FBgn0003885	2226	990	272	321	576	634	466	344	695	672	194	412
FBgn0261393	125	68	5	8	5	16	10	5	11	14	8	12
FBgn0015572	13	12	12	3	6	6	5	7	12	4	11	17
FBgn0015571	18	13	6	6	12	11	10	7	7	8	7	10
FBgn0015570	90	48	5	1	15	19	11	6	25	8	5	6
FBgn0015568	279	126	14	6	9	10	11	7	24	22	3	5
FBgn0083963	25	21	19	11	19	27	32	8	39	27	22	22
FBgn0051146	18	16	13	21	9	12	27	12	17	14	18	13
FBgn0037512	10	4	0	42	2	4	51	3	5	6	4	5
FBgn0262899	1	1	1	0	1	1	0	0	1	0	1	0
FBgn0037513	47	24	56	24	30	44	36	51	20	19	20	47
FBgn0037514	0	0	3	0	2	3	1	1	3	3	1	5
