geneID	sampleID	rlog	sampleName	sampleInfo	Genotype	Replicate	Input	sample
FBtr0077824	Gd7_R1_CBP	3.54107109552211	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0334814	Gd7_R1_CBP	6.9421567084928	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077829	Gd7_R1_CBP	6.39168198239409	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077832	Gd7_R1_CBP	6.22335247287059	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0330664	Gd7_R1_CBP	7.31152780417615	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0330663	Gd7_R1_CBP	5.64008527954831	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0307523	Gd7_R1_CBP	3.47387459964843	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077843	Gd7_R1_CBP	6.9266021749372	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077835	Gd7_R1_CBP	7.33207551391721	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077836	Gd7_R1_CBP	5.73298241248313	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077837	Gd7_R1_CBP	6.7270075718497	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077838	Gd7_R1_CBP	3.86870265083642	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077839	Gd7_R1_CBP	3.15967190729967	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0100673	Gd7_R1_CBP	4.91161801682744	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077798	Gd7_R1_CBP	3.59058016774331	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077797	Gd7_R1_CBP	4.9101191788598	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077794	Gd7_R1_CBP	6.62131132115225	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077793	Gd7_R1_CBP	5.89231703225179	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0330665	Gd7_R1_CBP	6.64867642686575	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0330666	Gd7_R1_CBP	6.24936039066101	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0330667	Gd7_R1_CBP	5.13099672301728	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077791	Gd7_R1_CBP	7.00609139437484	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077766	Gd7_R1_CBP	6.5533468497822	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0331437	Gd7_R1_CBP	6.85663423846486	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077767	Gd7_R1_CBP	6.85657554039713	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077768	Gd7_R1_CBP	4.65043620485266	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0331439	Gd7_R1_CBP	3.83352231780751	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077772	Gd7_R1_CBP	5.94904131738619	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077773	Gd7_R1_CBP	7.43174003504626	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077775	Gd7_R1_CBP	8.12760008044394	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077747	Gd7_R1_CBP	6.92751110906544	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0344854	Gd7_R1_CBP	8.23504272600915	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077746	Gd7_R1_CBP	6.73570026793775	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077693	Gd7_R1_CBP	7.53775840184609	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0335170	Gd7_R1_CBP	6.60553518147495	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0089751	Gd7_R1_CBP	5.44691498619675	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0089749	Gd7_R1_CBP	3.88902459190083	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077740	Gd7_R1_CBP	2.93401973096886	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
